BRAND-NAME,CT-REGISTRATION-NUMBER,STATUS,EFFECTIVE,EXPIRATION,OUT-OF-STATE-SHIPPER,SUPERVISOR-CREDENTIAL-,WHOLESALERS
DOMAINE LUMINEUX ROSE OF PINOT NOIR DUNDEE HILLS,LBD.0210915,ACTIVE,12/05/2023 12:00:00 AM,12/04/2026 12:00:00 AM,ROMAN VINEYARDS LLC,LSW.0001670,
DOMAINE LUQUET MACON FUISSE,LBD.0145543,ACTIVE,06/13/2024 12:00:00 AM,06/11/2027 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE LUQUET MACON VILLAGES CONDEMINE,LBD.0145544,ACTIVE,06/13/2024 12:00:00 AM,06/11/2027 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE LUQUET MACON VILLAGES LE MULOTS,LBD.0145545,ACTIVE,06/13/2024 12:00:00 AM,06/11/2027 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE LUQUET POUILLY FUISSE 1ER CRUE LES VIGNES BLANC,LBD.0187754,ACTIVE,02/25/2025 12:00:00 AM,02/23/2028 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MABY BRIN DE GARRIGUE LIRAC RED,LBD.0155424,ACTIVE,05/01/2025 12:00:00 AM,04/29/2028 12:00:00 AM,DB WINE SELECTION INC,LCL.0000601,DB WINE SELECTION INC (LIW.0000642)
DOMAINE MADONE BEAUJOLAIS VILLAGES PERREON,LBD.0048487,ACTIVE,10/29/2023 12:00:00 AM,10/27/2026 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MSW CT LLC (LIW.0000594)
DOMAINE MAILLARD ALOXE CORTON,LBD.0192198,ACTIVE,10/24/2024 12:00:00 AM,10/23/2027 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MAILLARD BEAUNE,LBD.0192199,ACTIVE,06/17/2025 12:00:00 AM,06/15/2028 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MAILLARD CHARDONNAY CHOREY LES BEAUNE,LBD.0117979,ACTIVE,01/20/2026 12:00:00 AM,01/19/2029 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MAILLARD CHARDONNAY CORTON GRAND CRU,LBD.0117981,ACTIVE,01/20/2026 12:00:00 AM,01/19/2029 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MAILLARD PINOT NOIR CHOREY LES BEAUNE,LBD.0117982,ACTIVE,01/20/2026 12:00:00 AM,01/19/2029 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MAILLARD PINOT NOIR LA CHANIERE CORTON GRAND CRU,LBD.0117983,ACTIVE,01/20/2026 12:00:00 AM,01/19/2029 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MAILLARD PINOT NOIR RENARDES CORTON GRAND CRU,LBD.0117984,ACTIVE,01/20/2026 12:00:00 AM,01/19/2029 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MAILLARD VOLNAY LES COMB,LBD.0204041,ACTIVE,05/12/2026 12:00:00 AM,05/10/2029 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MAIRE & FILS CHRDONNAY L'ETOILLE,LBD.0172371,ACTIVE,12/03/2023 12:00:00 AM,12/01/2026 12:00:00 AM,J C BOISSET WINES USA INC,LSL.0000580,
DOMAINE MAIRE & FILS N/A TRADITIONAL COTES DU JURA,LBD.0172372,ACTIVE,12/03/2023 12:00:00 AM,12/01/2026 12:00:00 AM,J C BOISSET WINES USA INC,LSL.0000580,
DOMAINE MAIRE & FILS N/A VIN JAUNE ARBOIS,LBD.0172373,ACTIVE,12/03/2023 12:00:00 AM,12/01/2026 12:00:00 AM,J C BOISSET WINES USA INC,LSL.0000580,
DOMAINE MAIRE & FILS PINOT NOIR VIGNES DE SORBIEF ARBOIS,LBD.0192139,ACTIVE,06/14/2025 12:00:00 AM,06/12/2028 12:00:00 AM,J C BOISSET WINES USA INC,LSL.0000580,
DOMAINE MAIRE & FILS SAVAGNIN BLANC GRAND MINERAL COTES DU JURA,LBD.0172374,ACTIVE,12/03/2023 12:00:00 AM,12/01/2026 12:00:00 AM,J C BOISSET WINES USA INC,LSL.0000580,
DOMAINE MAIRE & FILS TROUSSEAU AUX AINES ARBOIS,LBD.0172375,ACTIVE,12/03/2023 12:00:00 AM,12/01/2026 12:00:00 AM,J C BOISSET WINES USA INC,LSL.0000580,
DOMAINE MAIRE ET FILS ARBOIS VIGNES AUX ANES 13%,LBD.0217029,ACTIVE,06/28/2024 12:00:00 AM,06/27/2027 12:00:00 AM,LONE STAR WINE AND SPIRITS LLC,LSL.0001471,WINEBOW INC (LIW.0000548)
DOMAINE MAIRE ET FILS ARBOIS VIGNES AUX ANES,LBD.0217028,ACTIVE,06/18/2024 12:00:00 AM,06/17/2027 12:00:00 AM,LONE STAR WINE AND SPIRITS LLC,LSL.0001471,"WINEBOW INC (LIW.0000548), FINE TERROIR SELECTIONS LLC (LIW.0000629)"
DOMAINE MAIRE ET FILS ARBOIS VIGNES SORBIEF 13%,LBD.0217031,ACTIVE,06/28/2024 12:00:00 AM,06/27/2027 12:00:00 AM,LONE STAR WINE AND SPIRITS LLC,LSL.0001471,WINEBOW INC (LIW.0000548)
DOMAINE MAIRE ET FILS ARBOIS VIGNES SORBIEF 6 CS 14%,LBD.0217030,ACTIVE,06/28/2024 12:00:00 AM,06/27/2027 12:00:00 AM,LONE STAR WINE AND SPIRITS LLC,LSL.0001471,WINEBOW INC (LIW.0000548)
DOMAINE MAIRE ET FILS ARBOIS VIN JAUNE 375ML 14%,LBD.0217032,ACTIVE,06/28/2024 12:00:00 AM,06/27/2027 12:00:00 AM,LONE STAR WINE AND SPIRITS LLC,LSL.0001471,"WINEBOW INC (LIW.0000548), FINE TERROIR SELECTIONS LLC (LIW.0000629)"
DOMAINE MAIRE ET FILS COTES DU JURA TRADITION BL 13%,LBD.0217034,ACTIVE,06/28/2024 12:00:00 AM,06/27/2027 12:00:00 AM,LONE STAR WINE AND SPIRITS LLC,LSL.0001471,WINEBOW INC (LIW.0000548)
DOMAINE MAIRE ET FILS COTES DU JURA TRADITION BL 6 CS 12%,LBD.0217033,ACTIVE,06/28/2024 12:00:00 AM,06/27/2027 12:00:00 AM,LONE STAR WINE AND SPIRITS LLC,LSL.0001471,WINEBOW INC (LIW.0000548)
DOMAINE MAIRE ET FILS COTES DU JURA TRADITION RG 14%,LBD.0217036,ACTIVE,06/28/2024 12:00:00 AM,06/27/2027 12:00:00 AM,LONE STAR WINE AND SPIRITS LLC,LSL.0001471,WINEBOW INC (LIW.0000548)
DOMAINE MAIRE ET FILS COTES DU JURA TRADITION RG,LBD.0217035,ACTIVE,06/28/2024 12:00:00 AM,06/27/2027 12:00:00 AM,LONE STAR WINE AND SPIRITS LLC,LSL.0001471,"WINEBOW INC (LIW.0000548), FINE TERROIR SELECTIONS LLC (LIW.0000629)"
DOMAINE MALET TOURAINE SAUVIGNON,LBD.0161243,ACTIVE,10/30/2025 12:00:00 AM,10/28/2028 12:00:00 AM,DB WINE SELECTION INC,LCL.0000601,DB WINE SELECTION INC (LIW.0000642)
DOMAINE MANOIR DU CARRA BEAUJOLAIS NOUVEAU,LBD.0218820,ACTIVE,08/14/2024 12:00:00 AM,08/13/2027 12:00:00 AM,KYSELA & PERE,LSL.0000689,F &amp; F DISTRIBUTORS INC (LIW.0000504)
DOMAINE MARC DELIENNE AVALANCHE DE PRINTEMPS FLEURIE RED WINE,LBD.0183540,ACTIVE,10/07/2024 12:00:00 AM,10/05/2027 12:00:00 AM,USA WINE IMPORTS INC,LSL.0001336,CLASSIC WINES INC (LIW.0000565)
DOMAINE MARC PORTAZ APREMONT VIN DE SAVOIE TABLE WHITE WINE,LBD.0183714,ACTIVE,10/14/2024 12:00:00 AM,10/12/2027 12:00:00 AM,WILSON DANIELS WHOLESALE LLC,LCL.0000661,WILSON DANIELS WHOLESALE LLC (LIW.0000716)
DOMAINE MARCEL DEISS ALSACE BLANC COMPLANTATION,LBD.0182051,ACTIVE,09/08/2024 12:00:00 AM,09/06/2027 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MSW CT LLC (LIW.0000594)
DOMAINE MARCEL DEISS ALSACE CRU BLANC BURG,LBD.0211557,ACTIVE,01/03/2024 12:00:00 AM,01/02/2027 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MSW CT LLC (LIW.0000594)
DOMAINE MARCEL DEISS ALSACE CRU BLANC GRASBERG,LBD.0182054,ACTIVE,08/26/2024 12:00:00 AM,08/24/2027 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MSW CT LLC (LIW.0000594)
DOMAINE MARCEL DEISS ALSACE GRAND CRU BLANC SCHLOSSBERG,LBD.0211559,ACTIVE,01/03/2024 12:00:00 AM,01/02/2027 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MSW CT LLC (LIW.0000594)
DOMAINE MARCEL DEISS ALSACE ORANGE LE JEU DES VERTS,LBD.0211558,ACTIVE,01/03/2024 12:00:00 AM,01/02/2027 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MSW CT LLC (LIW.0000594)
DOMAINE MARCEL DEISS ALSACE ROUGE,LBD.0182052,ACTIVE,08/26/2024 12:00:00 AM,08/24/2027 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MSW CT LLC (LIW.0000594)
DOMAINE MARCEL DEISS ALSACE VILLAGE BLANC RIBEAUVILLE,LBD.0211556,ACTIVE,01/03/2024 12:00:00 AM,01/02/2027 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MSW CT LLC (LIW.0000594)
DOMAINE MARCEL DEISS ALSACE VILLAGE BLANC ZELLENBERG,LBD.0182053,ACTIVE,08/26/2024 12:00:00 AM,08/24/2027 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MSW CT LLC (LIW.0000594)
DOMAINE MARCHAND FRERES PINOT NOIR AUX ETELOIS GEVREY-CHAMBERTIN,LBD.0166827,ACTIVE,01/20/2026 12:00:00 AM,01/19/2029 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MARCHAND FRERES PINOT NOIR CHAMBOLLE-MUSIGNY VIEILLES VIGNES,LBD.0166821,ACTIVE,01/20/2026 12:00:00 AM,01/19/2029 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MARCHAND FRERES PINOT NOIR GRAND CRU CHARMES-CHAMBERTIN,LBD.0166812,ACTIVE,01/20/2026 12:00:00 AM,01/19/2029 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MARCHAND FRERES PINOT NOIR GRAND CRU GRIOTTE-CHAMBERTIN,LBD.0166816,ACTIVE,01/20/2026 12:00:00 AM,01/19/2029 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MARCHAND FRERES PINOT NOIR LES MILLANDES MOREY-SAINT-DENIS,LBD.0166817,ACTIVE,01/20/2026 12:00:00 AM,01/19/2029 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MARCHAND FRERES PINOT NOIR VIEILLES VIGNES MOREY-SAINT-DENIS,LBD.0166824,ACTIVE,01/20/2026 12:00:00 AM,01/19/2029 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MARCHAND FRERES PINOT NOIR VIELLES VIGNES GEVREY-CHAMBERTIN,LBD.0166818,ACTIVE,01/20/2026 12:00:00 AM,01/19/2029 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MARDON QUINCY VIEILLES VIGNES,LBD.0053452,ACTIVE,05/26/2024 12:00:00 AM,05/24/2027 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MSW CT LLC (LIW.0000594)
DOMAINE MARIE BERENICE,LBD.0209760,ACTIVE,10/25/2023 12:00:00 AM,10/24/2026 12:00:00 AM,T ELENTENY HOLDINGS LLC,LSL.0001494,HENRY PROVISIONS LLC (LIW.0000742)
DOMAINE MARQUIS D'ANGERVILLE BOURGOGNE ALIGOTE,LBD.0213695,ACTIVE,03/11/2024 12:00:00 AM,03/10/2027 12:00:00 AM,MHW LTD,LSL.0000675,HENRY PROVISIONS LLC (LIW.0000742)
DOMAINE MARQUIS D'ANGERVILLE BOURGOGNE CHARDONNAY,LBD.0213696,ACTIVE,03/12/2024 12:00:00 AM,03/11/2027 12:00:00 AM,MHW LTD,LSL.0000675,HENRY PROVISIONS LLC (LIW.0000742)
DOMAINE MARQUIS D'ANGERVILLE BOURGOGNE PASSETOUTGRAIN,LBD.0213697,ACTIVE,03/11/2024 12:00:00 AM,03/10/2027 12:00:00 AM,MHW LTD,LSL.0000675,HENRY PROVISIONS LLC (LIW.0000742)
DOMAINE MARQUIS D'ANGERVILLE MEURSAULT 1ER CRU SANTENOTS,LBD.0220390,ACTIVE,09/27/2024 12:00:00 AM,09/26/2027 12:00:00 AM,MHW LTD,LSL.0000675,HENRY PROVISIONS LLC (LIW.0000742)
DOMAINE MARQUIS D'ANGERVILLE MEURSAULT 1ER CRU SANTENOTS,LBD.0230427,ACTIVE,09/05/2025 12:00:00 AM,09/04/2028 12:00:00 AM,GRAND CRU SELECTIONS LLC,LSL.0002432,HENRY PROVISIONS LLC (LIW.0000742)
DOMAINE MARQUIS D'ANGERVILLE VOLNAY 1ER CRU CHAMPANS,LBD.0230429,ACTIVE,09/05/2025 12:00:00 AM,09/04/2028 12:00:00 AM,GRAND CRU SELECTIONS LLC,LSL.0002432,HENRY PROVISIONS LLC (LIW.0000742)
DOMAINE MARQUIS D'ANGERVILLE VOLNAY 1ER CRU CLOS DES DUCS,LBD.0230430,ACTIVE,09/05/2025 12:00:00 AM,09/04/2028 12:00:00 AM,GRAND CRU SELECTIONS LLC,LSL.0002432,HENRY PROVISIONS LLC (LIW.0000742)
DOMAINE MARQUIS D'ANGERVILLE VOLNAY 1ER CRU FREMIET,LBD.0220391,ACTIVE,09/27/2024 12:00:00 AM,09/26/2027 12:00:00 AM,MHW LTD,LSL.0000675,HENRY PROVISIONS LLC (LIW.0000742)
DOMAINE MARQUIS D'ANGERVILLE VOLNAY 1ER CRU FREMIET,LBD.0230431,ACTIVE,09/05/2025 12:00:00 AM,09/04/2028 12:00:00 AM,GRAND CRU SELECTIONS LLC,LSL.0002432,HENRY PROVISIONS LLC (LIW.0000742)
DOMAINE MARQUIS D'ANGERVILLE VOLNAY 1ER CRU,LBD.0230428,ACTIVE,09/05/2025 12:00:00 AM,09/04/2028 12:00:00 AM,GRAND CRU SELECTIONS LLC,LSL.0002432,HENRY PROVISIONS LLC (LIW.0000742)
DOMAINE MARQUIS D`ANGERVILLE VOLNAY 1ER CRU CHAMPANS,LBD.0207464,ACTIVE,08/21/2023 12:00:00 AM,08/20/2026 12:00:00 AM,MHW LTD,LSL.0000675,HENRY PROVISIONS LLC (LIW.0000742)
DOMAINE MARQUIS D`ANGERVILLE VOLNAY 1ER CRU CLOS DES DUCS,LBD.0207465,ACTIVE,08/21/2023 12:00:00 AM,08/20/2026 12:00:00 AM,MHW LTD,LSL.0000675,HENRY PROVISIONS LLC (LIW.0000742)
DOMAINE MARQUIS D`ANGERVILLE VOLNAY 1ER CRU,LBD.0207463,ACTIVE,08/21/2023 12:00:00 AM,08/20/2026 12:00:00 AM,MHW LTD,LSL.0000675,HENRY PROVISIONS LLC (LIW.0000742)
DOMAINE MARTIN MUSCADET LE PER SON PAIN,LBD.0219963,ACTIVE,09/16/2024 12:00:00 AM,09/15/2027 12:00:00 AM,MHW LTD,LSL.0000675,"HARTLEY &amp; PARKER, LIMITED, LLC (LIW.0000512)"
DOMAINE MARTIN SANCERRE MONT DAMNES,LBD.0090993,ACTIVE,04/24/2024 12:00:00 AM,04/22/2027 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MSW CT LLC (LIW.0000594)
DOMAINE MARTIN SANCERRE ROSE,LBD.0121644,ACTIVE,01/24/2025 12:00:00 AM,01/22/2028 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MSW CT LLC (LIW.0000594)
DOMAINE MARTIN SANCERRE,LBD.0085815,ACTIVE,07/10/2023 12:00:00 AM,07/08/2026 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MSW CT LLC (LIW.0000594)
DOMAINE MAS BARRAU CABERNET FRANC,LBD.0139933,ACTIVE,10/31/2023 12:00:00 AM,10/29/2026 12:00:00 AM,REGAL WINE IMPORTS INC,LSL.0001343,GATHERING HARVESTS LLC (LIW.0000651)
DOMAINE MASSE COTE CHALONNAISE BOURGOGNE CHARDONNAY,LBD.0210603,ACTIVE,11/20/2023 12:00:00 AM,11/19/2026 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MASSE GIVRY BLANC LE CLOS DE LA ROCHE,LBD.0189934,ACTIVE,04/20/2025 12:00:00 AM,04/18/2028 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MASSE GIVRY ROUGE PREMIER CRU VIELLES VIGNES,LBD.0191969,ACTIVE,06/09/2025 12:00:00 AM,06/07/2028 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MASSON- ROSE DE PROVENCE,LBD.0205817,ACTIVE,07/03/2023 12:00:00 AM,07/02/2026 12:00:00 AM,PETIT VIN LLC,LSL.0002158,"VILLAGE GREEN PRESERVATION SOCIETY WINE AND SPIRITS, LLC (LIW.0000749)"
DOMAINE MAURICE CHARLEUX ET FILS MARANGES VIEILLES VIGNES ROUGE 2023,LBD.0236875,ACTIVE,04/20/2026 12:00:00 AM,04/19/2029 12:00:00 AM,INVOER EKKE LLC,LCL.0000652,INVOER EKKE LLC (LIW.0000713)
DOMAINE MEA CHAMPAGNE LA CUVEE DES LOUPS COTE DES NOIRS GRAND CRU,LBD.0217936,ACTIVE,07/23/2024 12:00:00 AM,07/22/2027 12:00:00 AM,CLASSIC WINES INC,LCL.0000544,CLASSIC WINES INC (LIW.0000565)
DOMAINE MEA CHAMPAGNE LA RECONTRE,LBD.0217933,ACTIVE,07/15/2024 12:00:00 AM,07/14/2027 12:00:00 AM,CLASSIC WINES INC,LCL.0000544,CLASSIC WINES INC (LIW.0000565)
DOMAINE MEA CHAMPAGNE LE GRILLON,LBD.0205549,ACTIVE,06/26/2026 12:00:00 AM,06/24/2029 12:00:00 AM,CLASSIC WINES INC,LCL.0000544,CLASSIC WINES INC (LIW.0000565)
DOMAINE MEA CHAMPAGNE LOUVOIS BLANC,LBD.0217934,ACTIVE,07/15/2024 12:00:00 AM,07/14/2027 12:00:00 AM,CLASSIC WINES INC,LCL.0000544,CLASSIC WINES INC (LIW.0000565)
DOMAINE MEA CHAMPAGNE SIGNATURE,LBD.0205548,ACTIVE,06/26/2026 12:00:00 AM,06/24/2029 12:00:00 AM,CLASSIC WINES INC,LCL.0000544,CLASSIC WINES INC (LIW.0000565)
DOMAINE MEA COTEAUX CHAMPENOIS BOUZY ROUGE,LBD.0217935,ACTIVE,07/23/2024 12:00:00 AM,07/22/2027 12:00:00 AM,CLASSIC WINES INC,LCL.0000544,CLASSIC WINES INC (LIW.0000565)
DOMAINE MEA LASSEMBLAGE,LBD.0205550,ACTIVE,06/26/2026 12:00:00 AM,06/24/2029 12:00:00 AM,CLASSIC WINES INC,LCL.0000544,CLASSIC WINES INC (LIW.0000565)
DOMAINE MEA ROSA,LBD.0231101,ACTIVE,09/25/2025 12:00:00 AM,09/24/2028 12:00:00 AM,CLASSIC WINES INC,LCL.0000544,CLASSIC WINES INC (LIW.0000565)
DOMAINE MEE GODARD CORCELETTE,LBD.0208278,ACTIVE,09/14/2023 12:00:00 AM,09/13/2026 12:00:00 AM,MHW LTD,LSL.0000675,HENRY PROVISIONS LLC (LIW.0000742)
DOMAINE MEE GODARD GRAND CRAS,LBD.0221629,ACTIVE,11/19/2024 12:00:00 AM,11/18/2027 12:00:00 AM,MHW LTD,LSL.0000675,HENRY PROVISIONS LLC (LIW.0000742)
DOMAINE MEGARD POMMARD,LBD.0168685,ACTIVE,08/05/2023 12:00:00 AM,08/03/2026 12:00:00 AM,DB WINE SELECTION INC,LCL.0000601,DB WINE SELECTION INC (LIW.0000642)
DOMAINE MEIX FOULOT MERCUREY ROUGE 1ER CRU,LBD.0199728,ACTIVE,01/25/2026 12:00:00 AM,01/23/2029 12:00:00 AM,ROSENTHAL WINE MERCHANT (NY) LTD,LCL.0000564,ROSENTHAL WINE MERCHANT (NY) LTD (LIW.0000597)
DOMAINE MICHAUD TOURAINE WHITE SAUVIGNON,LBD.0146356,ACTIVE,07/05/2024 12:00:00 AM,07/03/2027 12:00:00 AM,AMERICAN B D COMPANY,LSL.0000510,INTERWINE INC (LIW.0000513)
DOMAINE MICHAUT FRERES CHABLIS 1ER CRU VAU-LIGNEAU,LBD.0190052,ACTIVE,04/22/2025 12:00:00 AM,04/20/2028 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MICHAUT FRERES CHABLIS,LBD.0190051,ACTIVE,04/22/2025 12:00:00 AM,04/20/2028 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MICHAUT FRERES PETIT CHABLIS,LBD.0190053,ACTIVE,04/22/2025 12:00:00 AM,04/20/2028 12:00:00 AM,W J DEUTSCH & SONS LTD,LSL.0000741,WINEBOW INC (LIW.0000548)
DOMAINE MICHEL BARRAUD BOURGOGNE ROUGE,LBD.0234937,ACTIVE,02/20/2026 12:00:00 AM,02/19/2029 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MSW CT LLC (LIW.0000775)
DOMAINE MICHEL BARRAUD MACON VILLAGES LES PIERRES DOREES,LBD.0061188,ACTIVE,07/29/2025 12:00:00 AM,07/27/2028 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MSW CT LLC (LIW.0000594)
DOMAINE MICHEL BREGEON MUSCADET SEVRE ET MAIN,LBD.0231108,ACTIVE,09/25/2025 12:00:00 AM,09/24/2028 12:00:00 AM,KERMIT LYNCH WINE MERCHANT INC,LSL.0000653,CLASSIC WINES INC (LIW.0000565)
DOMAINE MICHEL BREGEON MUSCADET SEVRE ET MAINE,LBD.0149474,ACTIVE,06/18/2025 12:00:00 AM,06/16/2028 12:00:00 AM,LONE STAR WINE AND SPIRITS LLC,LSL.0001471,
DOMAINE MICHEL CHEVEAU BEAUJOLAIS VILLAGES RED,LBD.0054166,ACTIVE,07/03/2024 12:00:00 AM,07/01/2027 12:00:00 AM,ROSENTHAL WINE MERCHANT (NY) LTD,LCL.0000564,ROSENTHAL WINE MERCHANT (NY) LTD (LIW.0000597)
DOMAINE MICHEL CHEVEAU SANT AMOUR RED,LBD.0053859,ACTIVE,06/17/2024 12:00:00 AM,06/15/2027 12:00:00 AM,ROSENTHAL WINE MERCHANT (NY) LTD,LCL.0000564,ROSENTHAL WINE MERCHANT (NY) LTD (LIW.0000597)
DOMAINE MICHEL GOUBARD ET FILS COTE CHALLONAISE MONT AVRIL BURGUNDY CHARDONNAY,LBD.0129308,ACTIVE,10/15/2025 12:00:00 AM,10/13/2028 12:00:00 AM,HAND PICKED SELECTIONS INC,LSL.0000938,MURPHY BEVERAGE COMPANY INC (LIW.0000627)
DOMAINE MICHEL GOUDARD ET FILS COTE CHALLONAISE MONT-AVRIL BURGUNDY PINOT NOIR,LBD.0129309,ACTIVE,10/15/2025 12:00:00 AM,10/13/2028 12:00:00 AM,HAND PICKED SELECTIONS INC,LSL.0000938,MURPHY BEVERAGE COMPANY INC (LIW.0000627)
DOMAINE MICHEL MAGNIEN BOURGOGNE ROUGE,LBD.0086448,ACTIVE,04/14/2024 12:00:00 AM,04/12/2027 12:00:00 AM,LONE STAR WINE AND SPIRITS LLC,LSL.0001471,WINEBOW INC (LIW.0000548)
DOMAINE MICHEL MAGNIEN CAZETIERS GEVREY CHAMBERTIN PREMIER CRU,LBD.0117038,ACTIVE,06/06/2024 12:00:00 AM,06/04/2027 12:00:00 AM,LONE STAR WINE AND SPIRITS LLC,LSL.0001471,WINEBOW INC (LIW.0000548)
DOMAINE MICHEL MAGNIEN CHAMBOLLE MUSIGNY 1ER CRU LES SENTIERS,LBD.0215843,ACTIVE,05/14/2024 12:00:00 AM,05/13/2027 12:00:00 AM,LONE STAR WINE AND SPIRITS LLC,LSL.0001471,WINEBOW INC (LIW.0000548)
DOMAINE MICHEL MAGNIEN CHAMBOLLE MUSIGNY LES ARGUILLIERES,LBD.0149442,ACTIVE,10/18/2024 12:00:00 AM,10/16/2027 12:00:00 AM,LONE STAR WINE AND SPIRITS LLC,LSL.0001471,WINEBOW INC (LIW.0000548)
DOMAINE MICHEL MAGNIEN CLOS DE LA ROCHE,LBD.0086451,ACTIVE,04/14/2024 12:00:00 AM,04/12/2027 12:00:00 AM,LONE STAR WINE AND SPIRITS LLC,LSL.0001471,WINEBOW INC (LIW.0000548)
DOMAINE MICHEL MAGNIEN COTEAUX BOURGUIGNONS,LBD.0215842,ACTIVE,05/15/2024 12:00:00 AM,05/14/2027 12:00:00 AM,LONE STAR WINE AND SPIRITS LLC,LSL.0001471,WINEBOW INC (LIW.0000548)
DOMAINE MICHEL MAGNIEN COTES DE NUITS VILLAGE RED BURGUNDY,LBD.0154714,ACTIVE,04/16/2025 12:00:00 AM,04/14/2028 12:00:00 AM,LONE STAR WINE AND SPIRITS LLC,LSL.0001471,WINEBOW INC (LIW.0000548)
DOMAINE MICHEL MAGNIEN ET FILS CHARMES CHAMBERTIN GRAND CRU,LBD.0169324,ACTIVE,08/20/2023 12:00:00 AM,08/18/2026 12:00:00 AM,LONE STAR WINE AND SPIRITS LLC,LSL.0001471,WINEBOW INC (LIW.0000548)
DOMAINE MICHEL MAGNIEN ET FILS CLOS SAINT DENIS GRAND CRU,LBD.0169325,ACTIVE,08/20/2023 12:00:00 AM,08/18/2026 12:00:00 AM,LONE STAR WINE AND SPIRITS LLC,LSL.0001471,WINEBOW INC (LIW.0000548)
DOMAINE MICHEL MAGNIEN FIXIN RED,LBD.0117039,ACTIVE,06/06/2024 12:00:00 AM,06/04/2027 12:00:00 AM,LONE STAR WINE AND SPIRITS LLC,LSL.0001471,WINEBOW INC (LIW.0000548)
DOMAINE MICHEL MAGNIEN FREMIERES CHAMBOLLE MUSIGNY RED,LBD.0117040,ACTIVE,06/06/2024 12:00:00 AM,06/04/2027 12:00:00 AM,LONE STAR WINE AND SPIRITS LLC,LSL.0001471,WINEBOW INC (LIW.0000548)
